"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","significance"
"CDH16",7.84511405010268,-5.43964082286196,1.31038563981426,-4.1511755452639,3.30771931885689e-05,0.000253689510796885,"Down"
"GJB4",4.64497876104808,-4.50262889883038,1.41957141512927,-3.17182274230307,0.00151485438942725,0.00726147369109152,"Down"
"PSG5",10.5303035032613,-4.2557679915825,1.08258836031324,-3.9311045154329,8.45565008901145e-05,0.000583184790999663,"Down"
"SSTR5",3.4505860032895,-4.12102525867834,1.46426020314901,-2.81440774653012,0.00488672014917974,0.0194642786035729,"Down"
"ACTG2",3.44088400838658,-4.05853562657145,1.48595077135756,-2.73127192690481,0.00630903919438678,0.0240991090224005,"Down"
"VTCN1",5.85339754464134,-3.95123426871135,1.25615153804365,-3.14550764700336,0.00165798860500294,0.00785745245030335,"Down"
"CST2",18.2595522164236,-3.90399317564929,0.820873471920719,-4.7559012554207,1.97563025914051e-06,1.98513163186274e-05,"Down"
"MAGIX",3.68770659865143,-3.40839381830453,1.35076458818038,-2.52330705744662,0.0116256838276129,0.0400341110039821,"Down"
"CPA4",41.4728810722801,-3.40785892167746,0.497209352672528,-6.85397187997376,7.18272068356583e-12,1.6610726954857e-10,"Down"
"ADCY5",14.5960780650273,-3.24087723119778,0.782772209189902,-4.14025586645672,3.46918647138278e-05,0.000264902712072909,"Down"
"CRIPAK",7.87230787742532,-2.84171823812436,1.02193652453843,-2.78071892910164,0.00542386743835976,0.0211815744821281,"Down"
"KRT15",21.0292119745467,-2.77090438481106,0.594527276158932,-4.66068504495381,3.15158672364032e-06,3.05772040969363e-05,"Down"
"SPNS2",12.8733232518122,-2.74938458341459,0.74920922577515,-3.6697153329499,0.00024282072103484,0.00147641821249382,"Down"
"OLFML2A",21.8237161954812,-2.74526374004382,0.587171346323716,-4.67540481536086,2.93374327601358e-06,2.87397744694685e-05,"Down"
"ANKRD2",11.9498811262041,-2.67087774643067,0.841070793873487,-3.17556829447156,0.00149543316218835,0.00717973813763803,"Down"
"DUSP13",11.5838382964996,-2.67011652460138,0.786812722993168,-3.39358585159097,0.000689839317583231,0.00368421015886893,"Down"
"ALDH1L2",16.1734212680622,-2.66736779573799,0.662953334007295,-4.02346237496807,5.73487495310144e-05,0.000414155033859852,"Down"
"CBR3",6.72644750647603,-2.66707055877379,1.01429565739109,-2.62948040774803,0.00855154593265284,0.0309798605715656,"Down"
