"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","significance"
"EGR1",511.326564924632,9.63170545493172,0.453828022451841,21.2232497299212,5.82551962744228e-100,6.41760425866778e-97,"Up"
"CCL20",192.649755410627,8.99930496751299,0.574414819734767,15.6669094499831,2.54664973339764e-55,8.34062201873313e-53,"Up"
"GPR142",18.7846986501964,8.79200964905409,1.25949966901298,6.98055733189991,2.94011347288898e-12,7.13993889067508e-11,"Up"
"PPP4R4",9.89744548969901,7.88517987049255,1.31888537024806,5.97866960114165,2.24967313691713e-09,3.8021672347506e-08,"Up"
"TNF",9.91884315589824,7.72860973349975,1.31334711795392,5.88466645858277,3.98857531194283e-09,6.45307818826745e-08,"Up"
"SELE",9.0534062468677,7.68161955503465,1.31592358529058,5.83743588221989,5.30102839885339e-09,8.39710616173926e-08,"Up"
"LTB",15.765640993868,7.56831207720984,1.13475210887966,6.66957304417971,2.56548670819593e-11,5.49267984627532e-10,"Up"
"EGR3",5.76187362472555,7.05188066615097,1.41111419730487,4.99738481805339,5.81130280881232e-07,6.39612783262376e-06,"Up"
"CXCL2",608.717478665246,6.88068716932108,0.198502956131365,34.6628952203996,2.85603758596726e-263,3.46094634667513e-259,"Up"
"HIST3H2BB",9.55421461886349,6.84639916111756,1.1973865780911,5.71778512168748,1.07921493455451e-08,1.62660778320044e-07,"Up"
"IL1A",8.85270413454914,6.70531758755977,1.20870564889658,5.54751902887274,2.8975163407096e-08,4.09709486776184e-07,"Up"
"CD300LB",10.546939848621,6.58436669172325,1.96871282957281,3.34450336931669,0.000824300284333572,0.0042981371968822,"Up"
"DLX2",8.2699023830492,6.55853927063261,1.20793382300114,5.42955180635454,5.64957518813717e-08,7.53152388667175e-07,"Up"
"C11orf96",21.2649632478696,6.50201792136038,0.801118959270251,8.11617032167502,4.81125324406703e-16,1.75610743408447e-14,"Up"
"HRH3",4.28758827683838,6.43147236293033,1.49520097132928,4.30140996846234,1.69714729050149e-05,0.000138587960957406,"Up"
"ARHGAP40",3.54086010062223,6.33005481692361,1.517927907018,4.1701946368185,3.04339600751188e-05,0.000235654139418715,"Up"
"ACAN",12.4716134797277,6.06772232910431,0.932197328625538,6.50905354776199,7.56257634218689e-11,1.51978938830217e-09,"Up"
"CXCL3",199.439568967091,5.97276853260787,0.271187209119265,22.0245215547062,1.676706231879e-107,2.03183261179098e-104,"Up"
"CXCL1",253.743953407372,5.81388828657377,0.416798854601649,13.9489065826017,3.19465507574909e-44,7.03869640144136e-42,"Up"
"CSF3",5.27481453423917,5.75175517897998,1.34276033765379,4.28353073716047,1.83950672739543e-05,0.000149004963386216,"Up"
"FOXC2",12.9227508365135,5.74387609853134,0.883129852835182,6.50399947424642,7.82121697989498e-11,1.56657036962591e-09,"Up"
"COL2A1",10.2847155366009,5.5224844004573,0.901634856869461,6.12496772765835,9.07019887980505e-10,1.6259270713828e-08,"Up"
"EGR2",47.5818397713224,5.21103545017899,0.430289106625652,12.1105446778427,9.28753634901074e-34,1.12546365477312e-31,"Up"
"BHLHE41",63.8218156682757,5.10995374490381,0.357227236866329,14.3044908605777,2.05133576811164e-46,5.0730789465259e-44,"Up"
"PPM1E",10.7317307134574,5.06194367148502,0.863363719225069,5.86304886198887,4.54444420449368e-09,7.29398342649727e-08,"Up"
"PTX3",3.41722191810363,4.8773397251321,1.32550525758193,3.67960798135923,0.000233592764238164,0.00142891323424436,"Up"
"MIR3685",5.4490824302628,4.86316360979035,1.09816380904225,4.42845008162463,9.49126792737227e-06,8.28639659538164e-05,"Up"
"LBP",28.2847545355242,4.85191887999299,0.520820877912016,9.3159070339969,1.20914933937754e-20,6.72131729109038e-19,"Up"
"HIF1A-AS2",12.8381014350586,4.77259263389707,0.738452838817177,6.46296199706079,1.02673084814969e-10,2.03299418592776e-09,"Up"
"NGFR",4.66196299613264,4.70166641486397,1.12143156250599,4.19255759518438,2.75827023255424e-05,0.00021578256086567,"Up"
"SLCO5A1",7.53191750344094,4.6805891534785,0.943236395873036,4.96226521151811,6.9675766848865e-07,7.54540610075555e-06,"Up"
"TCERG1L",4.4766084219956,4.67035178747243,1.16553792465087,4.00703545435589,6.14856362767751e-05,0.00043931777146342,"Up"
"NR4A3",18.4032357261191,4.65583989745793,0.609067677221703,7.64420781397531,2.10235626944383e-14,6.49906971253069e-13,"Up"
"RPPH1",653.974477981011,4.62671833974531,1.30806221862039,3.53707818625408,0.000404579876655371,0.00231150351028278,"Up"
"MIR3191",30.688736706777,4.52730548045468,0.471909469663514,9.59358896460117,8.50731390720545e-22,5.28675025269311e-20,"Up"
"SNORA28",8.61945819369177,4.47388631491803,0.864741706511448,5.17366779146879,2.29542797102754e-07,2.77604752025067e-06,"Up"
"PYY",4.37633667056987,4.46607437672914,1.18243357473652,3.77701925262423,0.000158716467032116,0.00101602015187278,"Up"
"RMRP",532.989098146018,4.43520851983822,1.06096407860014,4.18035691245091,2.91051908285894e-05,0.000226232650712538,"Up"
"HIST1H2AK",53.0477840109346,4.42937923335071,0.363459904001866,12.1867066616734,3.6591207999259e-34,4.66749745826337e-32,"Up"
"SAA2",5.69627592922161,4.39117874856471,0.984630178318402,4.45972390980761,8.20652987705407e-06,7.26418765888541e-05,"Up"
"STMN4",3.44740706826734,4.33130741339768,1.36778075668773,3.16666789777517,0.0015419630416746,0.00737391797119682,"Up"
"SCARNA7",6.80723305127382,4.29685607888806,0.93395588926313,4.60070558822449,4.21062207336512e-06,3.98316301990933e-05,"Up"
"NR1D1",261.917051119834,4.22985068402673,0.19946509773167,21.2059690248012,8.41202808779288e-100,8.4947463639895e-97,"Up"
"CATSPERD",4.00939287442325,4.22025792797201,1.26823847631772,3.32765328191694,0.000875807932327942,0.00451588026441163,"Up"
"NTNG2",19.200398768057,4.17864534801241,0.577334170783774,7.23782786378223,4.55927582394549e-13,1.2036885497728e-11,"Up"
"NFKBID",34.1967039598691,4.12453998206108,0.94881077202465,4.34706276917556,1.37972744153428e-05,0.000115866508222539,"Up"
"GOLGA6C",4.63544018237996,4.10883143068378,1.10395582132762,3.72191653986886,0.00019771637888697,0.0012324727774446,"Up"
"PER1",252.007394361913,4.09801866622852,0.216440340463933,18.93371012744,6.01714100792354e-80,3.64578573670087e-77,"Up"
"FOSB",76.995709640087,4.07594426579312,0.297096771251927,13.7192479360096,7.78689091559563e-43,1.5726924019198e-40,"Up"
"EFNA1",262.415553263503,4.01071714024659,0.329090304580604,12.1872844153154,3.63327712189961e-34,4.66749745826337e-32,"Up"
"HIST2H2BF",39.0146480717916,3.98342854211327,0.40366120253364,9.86824722591787,5.71545686889678e-23,3.89100597400512e-21,"Up"
"KCNN1",3.84143286723554,3.91616854484623,1.18585615166551,3.30239763005492,0.000958620718457737,0.00487476536561933,"Up"
"SCARNA2",8.65708956387272,3.90508720456046,0.828855257513395,4.71142237340198,2.4599379856051e-06,2.4354189958793e-05,"Up"
"SCARNA5",9.64125535535568,3.86912319898633,1.53857323879903,2.51474749554754,0.0119117662740903,0.0408220542164666,"Up"
"BRE-AS1",20.6461328351568,3.86250538352343,0.518781877490896,7.44533599015554,9.66979962175983e-14,2.71876175908319e-12,"Up"
"SNORD11",4.16765834676427,3.85319512473772,1.2106913043298,3.18264045587634,0.00145938713198759,0.00703175080136209,"Up"
"FGF18",9.43603048350605,3.85240022510085,0.783541264643977,4.91665263711579,8.80365606253948e-07,9.3553904323739e-06,"Up"
"SNORD6",3.93242162675613,3.82266172444498,1.19040095134468,3.21123880162133,0.00132164057071011,0.00644752030429353,"Up"
"RNU6ATAC",9.18981347165233,3.8093764187081,0.772871216778134,4.9288630964784,8.27095040806686e-07,8.84619391394124e-06,"Up"
"ICAM5",34.9048698763328,3.78245815071874,0.396179731564885,9.54732877368123,1.33083406321296e-21,8.02340655622619e-20,"Up"
"SNORA78",4.05543390106294,3.76191291364006,1.13290194925086,3.32059885334972,0.000898245423959972,0.00460835649769134,"Up"
"MAFF",139.962949332002,3.74221942897327,0.205013324545161,18.2535424820591,1.93917127774068e-74,9.39955101746464e-72,"Up"
"PRG4",6.07117354101124,3.70744331047708,0.923800023264285,4.01325310360642,5.98876383479611e-05,0.000429673417111067,"Up"
"SNORA48",21.9249791605788,3.67807203768238,0.511017769035635,7.19754235674317,6.13075078553424e-13,1.58406051213441e-11,"Up"
"RFPL3S",4.50875200346937,3.63534185726632,1.08585231281298,3.34791556307386,0.000814218145838777,0.00425471991861764,"Up"
"SNORD20",3.42279591972535,3.62974276516366,1.16026922825763,3.12836251859789,0.00175783225063932,0.00825316203535347,"Up"
"TNFSF14",7.49428153105576,3.60480153984372,0.941987339460894,3.82680465950506,0.000129817451864224,0.000851009329944375,"Up"
"PROX1",3.99726054726136,3.58841409877394,1.08630423701358,3.30332330161856,0.000955461625772088,0.00486074054622425,"Up"
"CD200R1",13.7313244952814,3.58783043084303,0.611986938699944,5.86259314367842,4.55693833927716e-09,7.30436227451861e-08,"Up"
"ZNF77",61.1595666630748,3.57835740028118,0.308221095423822,11.6097095669611,3.67862947473345e-31,4.08969100686421e-29,"Up"
"DDIT3",343.018339640248,3.54956983661707,0.147149576074071,24.1221886689657,1.46267083831556e-128,2.53209217410113e-125,"Up"
"NFKBIZ",212.967837497775,3.5461955494599,0.192750154514817,18.3978869349611,1.36588164381038e-75,7.19641467812793e-73,"Up"
"ICAM1",61.1749171918404,3.51792661065547,0.331925142703756,10.598554186042,3.02622389653207e-26,2.52908835711556e-24,"Up"
"SCARNA15",10.4432285484036,3.4973148462879,0.693758940120515,5.04110959014146,4.62840302541558e-07,5.19805262854365e-06,"Up"
"SNORD97",5.85881594205046,3.48924280545832,0.919031646006087,3.79665142176748,0.000146663790991143,0.000947373037969441,"Up"
"JUNB",817.412572133446,3.48749625158644,0.119005316828999,29.3053818477514,8.85654190430808e-189,5.36617873982026e-185,"Up"
"ARRDC3",401.750900998338,3.48159915669878,0.139741967034044,24.9144851084757,5.18374799986455e-137,1.25633316524717e-133,"Up"
"VGF",5.65295633433774,3.47478417830782,0.918634563739936,3.78255327576759,0.000155227855403706,0.000996847457224221,"Up"
"HIST2H2BE",443.047927905046,3.47052467631639,0.168925254667032,20.5447354994795,8.57772713486415e-94,7.42463553002027e-91,"Up"
"DUSP8",303.184180221399,3.47043354071619,0.181932359295912,19.0754055746155,4.04274059706577e-81,2.57841739764437e-78,"Up"
"SCARNA10",4.55240115382732,3.4643894788021,1.02983657331596,3.36401868856447,0.000768163413941524,0.00405427014379068,"Up"
"TERC",5.65915947878039,3.43748803757046,0.96340766476815,3.56805136940415,0.000359646005089342,0.00207730709707943,"Up"
"TNFAIP3",503.733702222369,3.4253446025597,0.138220977588534,24.7816551605974,1.41376243096712e-135,2.85532885640992e-132,"Up"
"MMRN2",3.70583467115713,3.42260026830758,1.18511115256813,2.8879993753251,0.00387700642429728,0.0161116474107114,"Up"
"C2orf66",4.82689488524323,3.41585093806646,0.973774238441832,3.5078468942989,0.000451748958266841,0.00255330871095036,"Up"
"HIST1H1D",4.28950652349434,3.37099103093461,1.02960129475858,3.27407419560893,0.0010600877268983,0.00530832358452627,"Up"
"IL23A",15.7259260944678,3.35208605841109,0.560337832473052,5.98225903044356,2.20063934690426e-09,3.72448988907623e-08,"Up"
"DCAF4L1",12.2565816884192,3.33428509911791,0.690522507878867,4.82864071927227,1.37468174591027e-06,1.42379430743082e-05,"Up"
"PRKXP1",28.506706599979,3.32955042247486,0.416705839987117,7.99016981038182,1.34753012584259e-15,4.74690990260479e-14,"Up"
"NBEAP1",13.6664574523825,3.32858107604055,0.588766481322284,5.6534826312888,1.57229006460042e-08,2.32070779571595e-07,"Up"
"SNORD55",4.36891232886751,3.3029587694735,1.06888948059265,3.09008445629212,0.00200099587518065,0.00918487424827241,"Up"
"SNORD15B",13.9922068055153,3.2901916095854,0.624443156682188,5.26900098812349,1.37168226367826e-07,1.7405283425396e-06,"Up"
"NFKBIA",2104.42066159348,3.25845462596696,0.124727452779171,26.1245985014704,1.91613845394766e-150,5.80494144623444e-147,"Up"
"SEMA4A",3.4976758692955,3.25366087038094,1.2076535283505,2.69420060803781,0.00705576836460603,0.0263569053767866,"Up"
"ZNF596",52.8253917883357,3.23850491629214,0.310211488120366,10.4396679049989,1.63381260353274e-25,1.31116166421256e-23,"Up"
"ARC",69.5736637033582,3.23637598961922,0.274273583433598,11.7998093330879,3.91196823342254e-32,4.43039542547798e-30,"Up"
"PPP1R15A",1458.91722668591,3.21234239117189,0.135768316068278,23.6604716343128,9.20932925765103e-124,1.39498314930269e-120,"Up"
"ZFP36",696.121319752738,3.19033390230691,0.391101872442409,8.15729641585057,3.42606865234365e-16,1.27353067267179e-14,"Up"
"NFKBIE",124.109271236039,3.1817481705434,0.205976253970463,15.4471600935109,7.88414033373322e-54,2.27476220390903e-51,"Up"
"SNORA63",21.5473014009005,3.18076448960239,0.908479744433395,3.50119472568559,0.000463177279375023,0.00261059640533327,"Up"
"SNORA53",5.69209741770273,3.1642870662975,1.01142351358173,3.12854805509898,0.0017567228232096,0.00825115006653252,"Up"
"IFNA22P",4.09871007668357,3.16296563938207,1.11157474028173,2.84548175193366,0.00443443001595041,0.0179660390950475,"Up"
"LINC00115",38.5369545510433,3.16182913432006,0.360370103849732,8.77383861908391,1.7267665175295e-18,8.30355422992956e-17,"Up"
"SNORD50B",7.21868253042292,3.15690337614965,0.793608692800035,3.97790927038787,6.95238887868592e-05,0.000488117314205771,"Up"
"SNORD33",6.40255399544865,3.14788893230526,1.02508679681604,3.07085111434733,0.00213449557287507,0.00969120170554518,"Up"
"SNORA25",6.65390125408409,3.12531616460052,0.822513100084647,3.79971597325183,0.000144862018848642,0.000937233285855762,"Up"
"MYLK3",6.29225664776986,3.11958490879559,0.93484036422358,3.33702418956473,0.000846805777505815,0.00438904722489969,"Up"
"ACHE",89.4835430656193,3.11510843256163,0.251699872226607,12.376281342555,3.51243596191913e-35,4.83678397574273e-33,"Up"
"CCL2",112.460134769352,3.11276222321929,0.252869007621685,12.309781465494,8.02401579782439e-35,1.06851674107732e-32,"Up"
"RNF138P1",5.90947227201686,3.11011762020113,0.940491063234266,3.30690821187148,0.000943317961225614,0.00480905639635338,"Up"
"ZBTB10",198.352503041003,3.10888274335035,0.194138323502043,16.0137508518128,1.02443450179294e-57,3.54688494077908e-55,"Up"
"ZNF57",55.3679538450112,3.0922670612329,0.301814423800824,10.2455907252252,1.23865898532566e-24,9.38129349011019e-23,"Up"
"CMYA5",3.51895832157561,3.0894803694542,1.10193448309951,2.80368789328032,0.00505217850863637,0.0199876915336779,"Up"
"NR4A1",366.321061448796,3.06873148790074,0.188203398021749,16.3053989468676,9.03471137521955e-60,3.31765552863365e-57,"Up"
"RNU12",5.29527614855161,3.06860981523599,1.07494816545364,2.85465840479946,0.00430831406623462,0.0175785016345559,"Up"
"ZSCAN12P1",8.45310228678251,3.0532891605532,0.71834061972059,4.25047543843591,2.13317228150813e-05,0.000170964164730923,"Up"
"KBTBD8",7.0927750048259,3.03463912195101,0.823378403372054,3.6855947514812,0.000228169172227221,0.00139926823332463,"Up"
"FOS",129.084006691278,3.02152288251975,0.213029774082263,14.183570796789,1.15800967039385e-45,2.75152180114367e-43,"Up"
"LOC286059",7.49316419957838,3.00216221079424,0.824725179403637,3.64019710537408,0.000272429414784408,0.00162465533875859,"Up"
"PRDM16",3.98766664358786,2.99984116624443,1.06195656657451,2.8248247251023,0.00473064860446784,0.0189884066872942,"Up"
"ATP6V1G2",5.708727478274,2.99535745404137,0.925774282696125,3.23551594597985,0.00121423103051752,0.00599106336637269,"Up"
"KDM6B",566.127067931994,2.98801391362283,0.147101060366901,20.3126606033301,9.93727983858566e-92,8.02799713893207e-89,"Up"
