"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","significance"
"MX1",385.972338537806,5.06233919497846,0.227500276611248,22.2520133618517,1.0784151160199e-109,3.32637142536337e-106,"Up"
"IFI44",15.1388368666855,4.60785620203214,0.923965712659732,4.9870424182386,6.13106080311922e-07,0.000105062539151229,"Up"
"IFI6",1308.35192850943,4.32884343520272,0.125879196153761,34.3888709768614,3.6985741815254e-259,4.56330082516604e-255,"Up"
"IFIT1",590.33664251118,4.29177897447333,0.168404886001887,25.484883938731,2.89968745695255e-143,1.78881719219403e-139,"Up"
"IFITM1",18.9336807121765,4.20680097931459,0.74183150960301,5.67083080842151,1.42106685977208e-08,3.07598647646806e-06,"Up"
"OAS2",22.6940736663619,4.18715481223929,0.682088884466735,6.138723130656,8.31874066160075e-10,2.09462494454755e-07,"Up"
"ISG15",486.099830325312,3.76182704044973,0.153948740138709,24.4355818505581,7.16281155552623e-132,2.94582563240276e-128,"Up"
"IFI27",59.0907988897569,3.53049245147554,0.370309123593095,9.5339062057648,1.51473876877543e-21,8.12558562137012e-19,"Up"
"IRF7",357.799897972623,3.17975090849163,0.172086102884293,18.4776739968923,3.1236012774231e-76,6.4231654268077e-73,"Up"
"OASL",46.0935485771734,2.6870267631562,0.367794577908963,7.30578133705195,2.75660149303004e-13,9.99667669277662e-11,"Up"
"DDX60",262.588151240928,2.29483886263365,0.169282756239005,13.556247036725,7.27649141523518e-42,7.48144592343097e-39,"Up"
"IRF9",761.854878737968,2.1556632848289,0.110236014084966,19.5549821237858,3.74136428142818e-85,9.23219050085218e-82,"Up"
"SNORD26",15.4933714649639,2.13582435185833,0.542195876902273,3.93921171820954,8.17497661540816e-05,0.00751628773855248,"Up"
"PARP9",742.986456976707,2.07019480826056,0.112695356265461,18.3698324124738,2.29118158141572e-75,4.03837119307245e-72,"Up"
"CMPK2",21.3128588301117,2.01813940958957,0.4574997476415,4.41123611541529,1.0278216242487e-05,0.00132096491666463,"Up"
"IFIT3",213.568857286391,1.96472789347067,0.163422091780185,12.022413078113,2.70941606681951e-33,2.22858502882794e-30,"Up"
"PARP10",80.127803528084,1.90851774031387,0.249362715716564,7.65358098876004,1.95458441935924e-14,7.53614455189198e-12,"Up"
"SAMD9L",63.247808533378,1.88053643740025,0.291470736384727,6.4518876259263,1.10465480761671e-10,3.09755250372157e-08,"Up"
"IFIH1",192.495393327486,1.80660173363254,0.175289825242197,10.3063696431688,6.59455200706012e-25,4.52019903683932e-22,"Up"
"DDX58",570.775340031666,1.76704233419532,0.146478013277825,12.0635329129141,1.64568907772099e-33,1.45032227435154e-30,"Up"
"SAMD9",182.502909879584,1.67236719149242,0.371752352036827,4.49860554298995,6.84006367009495e-06,0.000959008017745812,"Up"
"THEMIS2",18.7507405478896,1.59651288589152,0.469449947840213,3.40081598312355,0.000671850378424963,0.037759294071915,"Up"
"OAS1",1855.37659720527,1.5391764929018,0.0879202112942407,17.5065149439948,1.2778161085345e-68,1.97071189338733e-65,"Up"
"HELZ2",1138.90759408482,1.4945672063983,0.106630775801609,14.0162837151162,1.23936776644239e-44,1.39011995476056e-41,"Up"
"HERC6",296.24795336798,1.45615560096003,0.145291451313002,10.022307491602,1.21629526858906e-23,7.50332551192593e-21,"Up"
"OAS3",4916.7527078742,1.38384080399992,0.0855738098765746,16.1713122974876,8.03680450584937e-59,1.10175659992411e-55,"Up"
"REC8",93.6307330167425,1.38305220015675,0.21761230994378,6.35557887563468,2.07643168424037e-10,5.69311424892392e-08,"Up"
"DTX3L",819.059874003728,1.37557904701615,0.108382884942407,12.6918474973895,6.56194020680265e-37,6.22778602088701e-34,"Up"
"STAT1",5326.4902344567,1.32034071677955,0.0935529594105283,14.1132971645038,3.14521748984292e-45,3.8805693389682e-42,"Up"
"BATF2",29.0568406641628,1.30709340896088,0.370005456178256,3.53263279536929,0.00041144352771187,0.0260431326716244,"Up"
"SP110",219.828592321183,1.27608809566445,0.154169238468887,8.27719010833654,1.26115797380652e-16,5.36557485545684e-14,"Up"
"EIF2AK2",1228.43179967865,1.23040112069481,0.121818020482768,10.1003210840129,5.50616115014106e-24,3.57552717212844e-21,"Up"
"IFI16",62.8399941761469,1.20958583094859,0.282410445994395,4.28307751396914,1.84325920593679e-05,0.00212543290493908,"Up"
"IFIT2",58.114163914462,1.15211956336613,0.27113995845563,4.24916921109092,2.14564799111392e-05,0.00240663681039669,"Up"
"IFI35",647.921194366905,1.1445876719688,0.11552986457394,9.90728826862131,3.87007534638316e-23,2.27376141065121e-20,"Up"
"TRIM14",901.359595762506,1.13898504237573,0.107548294161074,10.5904519570518,3.29994695678944e-26,2.54467159705426e-23,"Up"
"CFB",376.992472688449,1.11215383249025,0.134898054110264,8.24440233645765,1.65987765451754e-16,6.82652350047915e-14,"Up"
"PLSCR1",1570.54176399616,1.07495434566159,0.103608300131507,10.3751759685005,3.21619302866594e-25,2.33419938751061e-22,"Up"
"CCL20",243.752886559693,1.01780267005525,0.157644913190796,6.4562988392998,1.07294637669888e-10,3.07860753388624e-08,"Up"
"GBP1",59.1721828173268,1.01242353441799,0.261346231856705,3.8738784455599,0.000107116855586246,0.00907134536639773,"Up"
"FGG",108.302390096435,1.01160542772614,0.230724675890395,4.38447003478161,1.16268485170164e-05,0.00146379650003008,"Up"
