"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","significance"
"NPBWR1",12.2709530615541,-5.06735894261342,1.11284283990194,-4.55352612329334,5.2754117209464e-06,2.39553388038483e-05,"Down"
"ABCG5",6.19931103983268,-4.96144903641284,1.37491129166214,-3.60855937870356,0.000307902046739853,0.00097129029745547,"Down"
"CLDN2",498.048772163928,-3.58076178040605,0.177102166734693,-20.2186220893062,6.71320850427199e-91,9.56098206636828e-89,"Down"
"KCNK2",12.4134127269449,-3.57293930454792,0.777009648983548,-4.59832038021907,4.25910687942434e-06,1.96681601031044e-05,"Down"
"SCGN",60.9027611685031,-3.46393503755755,0.36667219740156,-9.44695306081261,3.4883712985761e-21,8.52236988012754e-20,"Down"
"METTL7A",44.4979817825091,-3.10665766591799,0.389994996119438,-7.96589109303999,1.64037364936124e-15,2.63912746437028e-14,"Down"
"ANXA13",29.3242522724516,-2.85465204773282,0.457611674236757,-6.2381538943342,4.42764964012235e-10,3.89415669751954e-09,"Down"
"LRRC26",10.1105662966007,-2.78691313011607,0.784681003571448,-3.55165107531791,0.000382822152944881,0.00117653507671854,"Down"
"NEB",703.387030581915,-2.74905978029108,0.142009027964435,-19.3583451678829,1.73365698143981e-83,2.23999205653455e-81,"Down"
"C9orf116",29.7188942110242,-2.67773086655676,0.458269740434637,-5.84313261446658,5.1228203069134e-09,3.8792445734881e-08,"Down"
"TEX15",16.5909336271772,-2.64248056582542,0.588276884833782,-4.4918993656738,7.05907795858224e-06,3.13173182495261e-05,"Down"
"SYT12",74.248243416543,-2.63161397574089,0.296047732497787,-8.88915430473889,6.1575767381957e-19,1.31023615042117e-17,"Down"
"GLTPD2",17.798559705826,-2.6258167815435,0.603452290443463,-4.35132457549187,1.35317563045819e-05,5.70637623705669e-05,"Down"
"SLC38A4",12.4278294613652,-2.62353787963596,0.690148273488405,-3.80141192902664,0.000143873879129342,0.000488135172476459,"Down"
"DDC",71.9439121462617,-2.57697294719725,0.298974006009983,-8.61938795813307,6.73129286908899e-18,1.35414596353599e-16,"Down"
"VASH1",9.01469274545593,-2.57016303514269,0.763682752527443,-3.36548524454247,0.000764091538324079,0.00218090622860753,"Down"
"TM4SF4",1021.38977224855,-2.4768056921559,0.123929636105003,-19.9855802857143,7.35274041131667e-89,1.01265819313222e-86,"Down"
"LRRC45",356.021497215985,-2.44361931562286,0.207859055421323,-11.7561359579438,6.56715611024222e-32,2.79003957727681e-30,"Down"
"LOC100128361",16.308199530473,-2.42455828376849,0.599018251209529,-4.0475532738324,5.17558047210498e-05,0.000194791441612287,"Down"
"MXD3",352.553428376015,-2.42190799258792,0.203892369940159,-11.8783650084539,1.53337211677592e-32,6.74307113668513e-31,"Down"
"SOSTDC1",114.737681047911,-2.29596909460162,0.237666928758259,-9.66044837031977,4.43916758531507e-22,1.16150495504705e-20,"Down"
"SLC17A4",11.4650541853048,-2.29362991523227,0.671448719360737,-3.41594205052018,0.00063561771741312,0.00184488116080098,"Down"
"EPN3",335.177251897435,-2.28818531788177,0.195228505711064,-11.7205492586634,1.00021385434941e-31,4.1925351961743e-30,"Down"
"ANXA10",223.057444260211,-2.26483079208058,0.183298767577046,-12.3559520995066,4.52368403234283e-35,2.16394396860125e-33,"Down"
"KCNH3",12.4638063123943,-2.23617873507096,0.643906234313711,-3.47283286898803,0.000514995946764242,0.00152840260497188,"Down"
"TMEM52",9.18898403548041,-2.22656901329953,0.757347912216307,-2.93995530638447,0.00328259592493195,0.00803216999749553,"Down"
"MPV17L",46.0755932202107,-2.15769294905633,0.341749884486282,-6.3136610925261,2.72510374080245e-10,2.45887150349007e-09,"Down"
"CCDC74A",11.1403059260554,-2.13791472381352,0.663196307857202,-3.22365293425888,0.00126566694711524,0.00344689349156787,"Down"
"H2AFX",701.613089124596,-2.12829589525434,0.176124436254909,-12.084046600859,1.28249160878759e-33,5.86622895362588e-32,"Down"
"MIR31HG",69.0135195262296,-2.12612352303628,0.281263145855233,-7.55919698107408,4.05565323696822e-14,5.61651956010196e-13,"Down"
"SNRNP25",420.612477139114,-2.12605322096534,0.170018753548997,-12.5048159487456,7.02623694967972e-36,3.42645243931268e-34,"Down"
"HOGA1",96.3366679882736,-2.09224759239158,0.251980748373711,-8.30320413720092,1.01340532817351e-16,1.80668691009937e-15,"Down"
"RAB36",24.7226025020934,-2.0571365294992,0.443089249019514,-4.64271370621452,3.43862672168505e-06,1.61469871498234e-05,"Down"
"DNAAF3",101.382811059085,-2.03542370767699,0.25231170971367,-8.06709966012614,7.19877857569179e-16,1.1886994978807e-14,"Down"
"GAS2",13.7815877223475,-2.0351683687017,0.640798396035778,-3.1759885500526,0.00149326844987263,0.00399469231211392,"Down"
"TMEM160",686.419453187297,-2.03235873059608,0.561078170177324,-3.62223810980522,0.000292065091565795,0.00092810643828451,"Down"
"CCDC96",19.2637694376289,-2.02774026763482,0.523628936113225,-3.87247557915011,0.000107735473518319,0.000377052613090584,"Down"
"RAB26",50.3986054965766,-2.02456690665327,0.364122054986178,-5.56013259545653,2.69569767422178e-08,1.82622588924441e-07,"Down"
"MEDAG",24.043864659384,-1.99556142857512,0.461628624584693,-4.32287194142356,1.54011136180012e-05,6.40418569921728e-05,"Down"
"ID1",2362.40976022462,-1.99305911088785,0.17606185129914,-11.3202212528228,1.04208580719846e-29,4.0186035143441e-28,"Down"
"HES6",137.723437921858,-1.98787558498959,0.266372481464093,-7.46276632654924,8.47245283173464e-14,1.13445781346293e-12,"Down"
"PDGFD",68.7446694616163,-1.9800853510029,0.296820195967431,-6.6709926679658,2.54078917101023e-11,2.61228143398451e-10,"Down"
"MNS1",362.481549645517,-1.97732791286681,0.216026013257319,-9.15319355781249,5.52748230919191e-20,1.25956246874731e-18,"Down"
"SAPCD2",766.644619671569,-1.97690102188118,0.156944075745178,-12.5962130937072,2.21527681959025e-36,1.09739384900888e-34,"Down"
