"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","significance"
"IFNL2",435.93466356521,11.3778816685266,1.10093377263315,10.3347557785548,4.90660321800174e-25,1.51092034720432e-23,"Up"
"IFNB1",1344.37112269708,10.0064182822032,0.477929685488117,20.9370093259293,2.46451778618551e-97,3.86097517678287e-95,"Up"
"IFNL3",365.995733215118,9.84293276382656,0.838578420476707,11.7376413743525,8.17341720027633e-32,3.46072424902241e-30,"Up"
"SCN3A",27.0881344769777,8.281830657998,1.23509831855386,6.7054019373089,2.00852737935637e-11,2.09773947045611e-10,"Up"
"IFNL1",579.647460277275,8.18441243054054,0.402667287738071,20.325496209328,7.6511576405344e-92,1.11502277568393e-89,"Up"
"CH25H",243.40894553029,7.82321330191535,0.533355364900838,14.6679190212511,1.03469947081101e-48,6.93469971533393e-47,"Up"
"TNF",574.583402953974,7.71772282257652,0.353683395030253,21.8209928173653,1.46641100907248e-105,2.51760673653498e-103,"Up"
"IFNL4",13.9553239183421,7.34914169117347,1.28689267399834,5.71076503865693,1.12469433955547e-08,7.99988317687214e-08,"Up"
"CSF2",456.879102523575,7.0480127970081,0.322329301551761,21.865876800767,5.49004455888608e-106,9.69108851500272e-104,"Up"
"LST1",10.5476287881281,6.92059598627176,1.29314237282634,5.3517664657031,8.70997603678111e-08,5.41210360282487e-07,"Up"
"LRRN3",9.38636368114065,6.73724648842843,1.31222374842491,5.13422081906024,2.83315302520958e-07,1.61546437056195e-06,"Up"
"COL4A1",8.18320770304545,6.59482831133245,1.34030077432531,4.92040923773411,8.63634426854878e-07,4.5062157667661e-06,"Up"
"SP8",8.041248904951,6.53282077498802,1.32803373266347,4.91916779996692,8.69129387126334e-07,4.52923019079183e-06,"Up"
"GBP1P1",14.7828370729852,6.49733772417028,1.19021421279443,5.45896499497816,4.7891816164947e-08,3.10837976175702e-07,"Up"
"ZBP1",350.466590299857,6.24794340636353,0.290916779359885,21.4767378496047,2.56928338142717e-102,4.29344381592356e-100,"Up"
"GBP5",48.7866447197902,6.17817343048334,0.703281741558607,8.7847772313715,1.56674717629359e-18,3.26180105655939e-17,"Up"
"CSF3",56.1484140305845,6.12799349420126,0.650522603494342,9.42010848091086,4.50622217800574e-21,1.09663072926109e-19,"Up"
"CYP1A1",813.204386355759,6.09204161693701,0.201467004895815,30.2384086172691,7.41074427738914e-201,4.42280276326277e-198,"Up"
"CXCL10",785.555243525564,6.08483503738129,0.202841134567387,29.9980329451363,1.04106234881081e-197,5.93074291711179e-195,"Up"
