"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","significance"
"RBM20",21.3217745541925,-1.58264072580114,0.473926314436846,-3.33942361415772,0.000839524357449435,0.0281775406072585,"Down"
"IFITM10",194.876226059119,-1.57324581715356,0.218924931398955,-7.18623414473783,6.66027875365606e-13,1.27484286438833e-10,"Down"
"NANOS1",34.0334915960315,-1.52039936160601,0.381357234646733,-3.9868113765153,6.69672229304984e-05,0.00344453433892731,"Down"
"STON1",30.6694820411191,-1.51172478823425,0.390147099653397,-3.87475593071754,0.000106731619029195,0.00517094765055968,"Down"
"CXCL14",100.873841646997,-1.45173460280876,0.261584656564683,-5.5497697069621,2.86046146054437e-08,3.27438706012902e-06,"Down"
"MYLK",90.8557470784402,-1.43413610611412,0.257324750973116,-5.57325364424017,2.50025129439404e-08,2.89038951617275e-06,"Down"
"PDK4",28.7083412959681,-1.42453845488911,0.448640641886422,-3.17523274061682,0.00149716365621263,0.0433768805209396,"Down"
"MAP7D2",54.3783039587211,-1.39851120293228,0.303219730817872,-4.61220382710612,3.98422011836618e-06,0.000283657037207583,"Down"
"NID1",77.739373379773,-1.23366122900906,0.270107419743288,-4.56729855914933,4.94050083109117e-06,0.000345420884454015,"Down"
"ZNF488",47.4292654709265,-1.14284738614332,0.309976962635503,-3.68687845840718,0.000227021717090907,0.00989069242072177,"Down"
"ATG9B",66.1278438302787,-1.1349897523503,0.273659748986713,-4.14744863485716,3.362008646785e-05,0.00187896276255588,"Down"
"VTCN1",182.503424937111,-1.077090858553,0.194272821107254,-5.54421793235999,2.95270894643416e-08,3.34716792801604e-06,"Down"
"CYP4F3",66.8895603482554,-1.07606386355878,0.29529835542235,-3.64398867721341,0.000268445234363729,0.0113976965688396,"Down"
"MIR221",49.1697363903614,-1.05931608515707,0.326365141670558,-3.24580033190668,0.00117120952884649,0.0353360270253529,"Down"
"PPARGC1A",76.5504206192357,-1.04851179546185,0.24573580143882,-4.26682554728557,1.98274082845408e-05,0.00119332380994999,"Down"
"METTL7A",149.768200430526,-1.03828792276745,0.192086468878742,-5.40531526675563,6.46944982877171e-08,6.86702692733986e-06,"Down"
