"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","significance"
"CSF3",68.07267222093,4.84834297103012,0.488611112827481,9.92270303263032,3.31650692159777e-23,1.13892749460516e-20,"Up"
"SPRR2E",47.1512020885697,3.5953214415729,0.428516942600407,8.39015003643753,4.85522141456782e-17,1.18103260909362e-14,"Up"
"CXCL5",104.703477164054,3.482294455961,0.295063475766766,11.8018485578798,3.81830147030244e-32,2.34644673511849e-29,"Up"
"CCL20",412.398807955839,3.14186060485883,0.164656412047923,19.0813134197555,3.6107043013818e-81,4.21585834229339e-77,"Up"
"CSF2",45.5677659259054,2.98025498218787,0.402184024863559,7.41017742611463,1.26130555643597e-13,2.53913856499075e-11,"Up"
"SPRR2D",365.423241674376,2.9773053683409,0.195728584330628,15.2113978575127,2.97130141800356e-52,5.99890399114518e-49,"Up"
"IL6",114.4461283262,2.92618183999871,0.26894352248135,10.8802837599542,1.43116748223723e-27,6.42704289330842e-25,"Up"
"IFI27",320.040270490138,2.89227503938436,0.375480853548468,7.7028562496623,1.33058016794153e-14,2.72558842822549e-12,"Up"
"IL36G",271.505066958858,2.73040410864977,0.17523147560507,15.5816990025437,9.69434330893955e-55,2.82977881187945e-51,"Up"
"XAF1",94.7837424982796,2.53010518551494,0.309840125383655,8.16584095549946,3.19203604462233e-16,7.60616588918578e-14,"Up"
"MX1",427.942894095543,2.50779140081825,0.1973754792194,12.7056887245382,5.4983219162589e-37,4.01240041838993e-34,"Up"
"PDZK1IP1",133.091332903948,2.42698905402574,0.238871145095005,10.1602437291472,2.9832973328046e-24,1.08853061430708e-21,"Up"
"SAA2",576.178646445391,2.42040806196456,0.128121023855569,18.8915760202877,1.33791175944124e-79,7.81072885161797e-76,"Up"
"IFI6",203.784501712068,2.34186289034176,0.566439699516721,4.13435515261344,3.55952665737179e-05,0.00196971721570962,"Up"
"BCL2A1",66.2648437443977,2.28333972463225,0.317029465224242,7.20229497601174,5.92074308650517e-13,1.15217660463391e-10,"Up"
"MMP9",318.585951274601,2.28313794518619,0.21687105891026,10.5276285211063,6.44373985025568e-26,2.50790354971951e-23,"Up"
"IFI44L",134.290542314547,2.27541692350122,0.628829206736731,3.61849751748865,0.000296318341597409,0.012356474844612,"Up"
"CXCL3",156.281926679822,2.22915978901977,0.258793441878545,8.61366413630349,7.07617974849397e-18,1.8360327720759e-15,"Up"
"MX2",60.8806550791384,2.22054979464512,0.362725877243831,6.12184002839264,9.25008690982273e-10,1.40264954232585e-07,"Up"
"SAA1",3318.53040025306,2.21977749638732,0.140460455207679,15.8035761247196,2.93957141180205e-56,1.14408119347336e-52,"Up"
"PGLYRP4",104.259088588511,2.03512035259691,0.230402581057071,8.83288869100303,1.02006518392143e-18,2.76983281103875e-16,"Up"
"TNFSF14",33.0598763201347,1.98972720694502,0.400229438643822,4.97146640109038,6.64483811911249e-07,5.79473332705511e-05,"Up"
"MRGPRX3",26.4685932672087,1.95430869859259,0.452785934803251,4.3161868520536,1.58747616802341e-05,0.000991196349617186,"Up"
"VNN1",49.2135018378666,1.88219065211863,0.331252517799927,5.68204179886552,1.33096120496573e-08,1.63582137149261e-06,"Up"
"C1QTNF1",112.551914318502,1.86936492322765,0.237989746131093,7.85481288003873,4.00369422477467e-15,8.65687662379057e-13,"Up"
"S100A8",1708.26448917952,1.86719910401974,0.122769445127601,15.208988703004,3.08268447643637e-52,5.99890399114518e-49,"Up"
"ICAM1",1886.18048961816,1.85949216024067,0.133099174903529,13.9707264270304,2.35215210370153e-44,2.81512485694165e-41,"Up"
"CFB",789.867704196659,1.85283008152807,0.132971892731797,13.9339979559831,3.93686875048899e-44,3.83057329422579e-41,"Up"
"GBP5",28.6547346708662,1.83228322261581,0.46069968217969,3.97717492216795,6.9738864922659e-05,0.00356048692485051,"Up"
"INHBA",1217.76830702916,1.81725241860093,0.121750035380621,14.9260935565213,2.22950293562895e-50,3.25395953455045e-47,"Up"
"TNF",35.1398088819819,1.8038163532932,0.378956597198508,4.75995500969814,1.93636118084521e-06,0.000150726354316991,"Up"
"PI3",71.2648240092523,1.80068490360731,0.290319343377167,6.20242827315835,5.55985271187327e-10,8.65557870184431e-08,"Up"
"KRT24",33.5982877932139,1.79520400500859,0.391268391485823,4.58816516762672,4.47158799227427e-06,0.000314519646974665,"Up"
"CXCL6",28.9832883241285,1.7285240754928,0.436065958152432,3.96390510008254,7.37335738059618e-05,0.00374310090329743,"Up"
"OAS1",197.642588266225,1.69401782169391,0.185001355625352,9.1567859920145,5.34659645860827e-20,1.60068872437718e-17,"Up"
"SPRR2A",506.938246426536,1.68558813602765,0.1553758973165,10.8484531072031,2.02828910311791e-27,8.77122354370544e-25,"Up"
"ZC3H12A",871.420007945947,1.67187407703651,0.136834611923015,12.2182103894673,2.48494811973364e-34,1.70672083800059e-31,"Up"
